Role,Dialogue
사기범,예 고객님 이천 십 칠년 십일월 삼십일 목요일 오후 두시 사십 사 분에 지금 신애 저축 은행에서 전화를 드렸구요. 저는 금융 조사 팀에 이상진 부장이라고 합니다. 고객님께서 대출하신 삼 천오백만원 개월 수 6십개월 금리 구 점 칠 프로 월납입금액 칠십팔.. 칠십삼만 팔천 사백 구십 일원 기존 대출 고객님 오천만 원으로 상향 조치를 해드릴거구요. 금리는 칠 점 팔 프로 약 예 일점구 프로 정도 인하된 그 금리로 이제 대출 나가시는데 연체 금리는 동일하게 십팔 점구 프로 동일하시고요. 어 만약에 오늘 금일 오후 여섯시 이전에 모든 일 처리가 마무리되지 않고 또 다시 어떤 상황이 발생한다면 그 부분에 대해서는 주식회사 신애 저축 은행에서 모든 책임을 질 것이며 만약 대출금 지급이 거절될 시 그 부분에 대해서는 제가 제 사비로 제가 직접 대출을 받아서 고객님한테 오천만원 송금을 해 드리겠습니다. 이 부분에 대해서 저희가 뭐 약속을 해드릴 수가 있구요.
피해자,일부러 그러냐고. 저번엔 진짜 마지막이라고..
사기범,그쵸 예 예
피해자,근데 또 이러니까
사기범,"그 부분에 대해서 제가 정말 어 죄송하게 생각을 드리구요. 물론 누군가가 잘못을 했기 때문에 이런 상황이 발생이 됐을 겁니다. 누구의 잘잘못을 따지기보다는 어 서로에게 좀 더 나은 방향으로 어 일처리 하는 게 서로에게 좋기 때문에 어 최선의 방법이라고 생각을 해가지고 제가 그 부분에 대해서 제안을 해드렸던 거구요. 아 더 이상 뭐 문제되는 건 없으니까, 이제는 뭐 마음 편히 있으셔도 될 것 같습니다. 죄송합니다."
피해자,아무튼 ...
사기범,예 예 얼마나 걸리시죠?
피해자,한 삼십분 안에는 해결 될 것 같아요.
사기범,예 예 알겠습니다.
